遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12,獎號13,獎號14,獎號15,獎號16,獎號17,獎號18,獎號19,獎號20,超級獎號,猜大小,猜單雙, 
賓果賓果,103059313,2014/10/20,103075,4123,159350,03,08,12,21,22,33,36,41,43,44,48,49,50,54,66,67,68,71,76,77,49,大,
賓果賓果,103059314,2014/10/20,93450,3738,49425,04,05,06,09,10,12,13,20,28,31,32,38,48,59,62,70,72,73,75,77,62,－,
賓果賓果,103059315,2014/10/20,111075,4443,27425,02,05,12,14,15,19,29,30,33,34,40,43,50,59,62,65,67,72,77,78,14,－,
賓果賓果,103059316,2014/10/20,106900,4276,74200,02,13,19,23,32,36,42,43,45,47,55,58,61,63,66,68,70,72,73,76,66,大,
賓果賓果,103059317,2014/10/20,106875,4275,60100,01,02,08,11,13,18,20,21,29,31,33,34,42,46,57,60,67,68,71,73,20,－,
賓果賓果,103059318,2014/10/20,109175,4367,34475,01,04,07,11,18,20,21,26,39,40,42,48,49,50,53,54,58,65,68,79,53,－,
賓果賓果,103059319,2014/10/20,128375,5135,113175,01,08,12,18,33,34,35,44,46,51,54,60,63,64,65,68,71,73,75,80,64,大,
賓果賓果,103059320,2014/10/20,119600,4784,54550,13,14,15,17,28,30,31,32,34,35,42,47,48,59,60,63,68,69,73,74,68,－,
賓果賓果,103059321,2014/10/20,137950,5518,38950,02,05,11,13,16,22,27,35,41,42,43,46,48,56,59,69,75,77,78,79,75,－,
賓果賓果,103059322,2014/10/20,158250,6330,60100,03,13,15,16,20,24,26,27,30,33,34,37,42,43,48,52,54,57,63,76,15,－,
賓果賓果,103059323,2014/10/20,154500,6180,58925,01,03,04,06,07,15,17,19,34,37,43,44,46,52,57,58,64,68,72,74,44,－,
賓果賓果,103059324,2014/10/20,157550,6302,48550,01,04,07,10,15,16,17,20,28,29,35,37,44,46,47,50,60,62,63,72,35,－,
賓果賓果,103059325,2014/10/20,154525,6181,56950,05,10,11,16,20,24,28,30,33,44,53,55,59,63,64,65,74,77,78,79,33,－,
