,pres_hpa,temp_cels,rh_percent
2017-11-15,1008.8,21.9,84.0
2017-11-16,1005.3,23.4,88.0
2017-11-17,1001.9,23.7,89.0
2017-11-18,1012.1,17.0,90.0
2017-11-19,1011.5,16.7,90.0
2017-11-20,,,
2017-11-21,1006.9,21.5,92.0
2017-11-22,1009.9,17.2,91.0
2017-11-23,1014.3,16.3,76.0
2017-11-24,1016.1,16.9,79.0
2017-11-25,1013.6,18.1,95.0
2017-11-26,1013.1,19.3,91.0
2017-11-27,1010.0,21.5,83.0
2017-11-28,1008.9,25.5,72.0
2017-11-29,1008.8,23.4,87.0
2017-11-30,1011.8,19.6,93.0
2017-12-01,1013.5,17.9,91.0
2017-12-02,1011.0,19.2,92.0
2017-12-03,1009.6,19.3,88.0
2017-12-04,1012.0,17.9,64.0
2017-12-05,1013.9,14.7,74.0
2017-12-06,1011.9,14.7,92.0
2017-12-07,1010.1,16.5,96.0
2017-12-08,1015.2,13.8,62.0
2017-12-09,1009.0,13.4,94.0
2017-12-10,1010.3,15.4,94.0
2017-12-11,1012.4,16.5,66.0
2017-12-12,1012.3,16.3,90.0
2017-12-13,1013.4,15.7,90.0
2017-12-14,1011.5,18.0,85.0
2017-12-15,1009.4,19.4,73.0
2017-12-16,1019.1,12.9,90.0
2017-12-17,1018.3,12.2,87.0
2017-12-18,1017.0,13.8,91.0
2017-12-19,1019.7,13.7,88.0
2017-12-20,1021.7,13.5,74.0
2017-12-21,1017.3,15.3,64.0
2017-12-22,1010.5,19.2,61.0
2017-12-23,1006.7,21.1,68.0
2017-12-24,1011.7,17.8,70.0
2017-12-25,1014.2,14.8,73.0
2017-12-26,1014.8,16.9,72.0
2017-12-27,1013.7,16.9,76.0
2017-12-28,1011.2,19.4,76.0
2017-12-29,1013.6,17.5,94.0
2017-12-30,1013.8,16.9,85.0
2017-12-31,1015.5,13.7,80.0
